,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
1,Chongwe,ZM,76.59,clear sky,-15.3292,28.682,Grakas Lodge
2,Cabinda,AO,77.14,broken clouds,-5.55,12.2,Hotel Maiombe
8,West Bay,KY,87.87,few clouds,19.3667,-81.4167,Calypso Cove
13,Castro,BR,77,few clouds,-24.7911,-50.0119,CHACARA BAILLY
24,Saint George,US,79.79,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
27,Hambantota,LK,79.11,overcast clouds,6.1241,81.1185,Bungalow 63
30,Wukari,NG,77.99,light rain,7.85,9.7833,Elimtop
32,Carutapera,BR,87.39,scattered clouds,-1.195,-46.02,Lidera
34,Porto Novo,BJ,78.62,broken clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
36,Caravelas,BR,81.82,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
37,Guaruja,BR,77.9,broken clouds,-23.9931,-46.2564,Charme Hotel Guarujá
41,Barra Do Garcas,BR,77.58,thunderstorm,-15.89,-52.2567,Pousada Tropical
42,Bubaque,GW,82.53,few clouds,11.2833,-15.8333,"Casa Dora, Bubaque"
43,Alibag,IN,84.27,overcast clouds,18.6411,72.8792,"Radisson Blu Resort & Spa - Alibaug, India"
47,Mumford,GH,77.23,scattered clouds,5.2618,-0.759,Peace Guest House
50,Zambezi,ZM,79.57,scattered clouds,-13.5432,23.1047,Royal Kutachika Lodge
61,Bengkulu,ID,76.17,moderate rain,-3.8004,102.2655,Grage Hotel Bengkulu
65,Victoria,HK,84.38,few clouds,22.2855,114.1577,Mini Central
66,Bandarbeyla,SO,77.59,broken clouds,9.4942,50.8122,JABIR HOTEL
73,Muisne,EC,79.18,broken clouds,0.6,-80.0333,Quinta Samay
81,Aden,YE,87.48,broken clouds,12.7794,45.0367,Sama Emirate Hotel
83,Ponta Do Sol,PT,76.01,overcast clouds,32.6667,-17.1,Hotel do Campo
87,Hobyo,SO,77.45,few clouds,5.3505,48.5268,Halane Hotel and Restaurent
90,Kouroussa,GN,78.01,light rain,10.65,-9.8833,Hotel Tando Plus
91,Grand-Lahou,CI,77.34,overcast clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
92,Sakakah,SA,89.17,broken clouds,29.9697,40.2064,Fakhamat Al Orjoana Apartment
97,Tallahassee,US,82.99,clear sky,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
112,Ormara,PK,79.11,clear sky,25.2088,64.6357,Kenara Colony House for Rent
113,Mattru,SL,78.1,light rain,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
119,Rio Branco,BR,79.41,thunderstorm,-9.9747,-67.81,Hotel Guapindaia Bosque
120,Hithadhoo,MV,82.51,broken clouds,-0.6,73.0833,Scoop Guest House
128,Pemba,MZ,75.9,few clouds,-12.974,40.5178,Guesthouse Samotina
