,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
0,Mazyr,BY,52.0495,29.2456,49.66,88,100,8.9,overcast clouds
1,Chongwe,ZM,-15.3292,28.682,76.59,22,2,6.33,clear sky
2,Cabinda,AO,-5.55,12.2,77.14,88,75,6.91,broken clouds
3,Saint-Philippe,RE,-21.3585,55.7679,71.19,78,26,10.65,scattered clouds
4,Ribeira Grande,PT,38.5167,-28.7,70.2,83,75,6.91,broken clouds
5,Tasiilaq,GL,65.6145,-37.6368,37.56,67,46,4.21,scattered clouds
6,Henties Bay,NA,-22.116,14.2845,55.36,91,23,10.36,few clouds
7,Opuwo,NA,-18.0607,13.84,80.04,18,0,7.23,clear sky
8,West Bay,KY,19.3667,-81.4167,87.87,58,20,8.05,few clouds
9,Hashtrud,IR,37.4779,47.0508,63.81,22,0,2.39,clear sky
10,Jamestown,US,42.097,-79.2353,68.02,45,0,8.05,clear sky
11,Kaniama,CD,-7.5667,24.1833,68.34,79,87,4.61,overcast clouds
12,Barao De Melgaco,BR,-16.1944,-55.9675,98.87,28,52,7.45,broken clouds
13,Castro,BR,-24.7911,-50.0119,77,54,11,4.63,few clouds
14,Orhei,MD,47.3831,28.8231,56.79,51,99,2.24,overcast clouds
15,Port Alfred,ZA,-33.5906,26.891,64.18,89,99,4,overcast clouds
16,Borskoye,RU,53.0333,51.7167,48.52,69,100,1.03,overcast clouds
17,Carnarvon,AU,-24.8667,113.6333,64.15,63,16,23.29,few clouds
18,Conceicao Do Araguaia,BR,-8.2578,-49.2647,105.78,14,11,6.78,few clouds
19,Sistranda,NO,63.7256,8.834,51.76,87,100,34.09,overcast clouds
20,Punta Arenas,CL,-53.15,-70.9167,53.62,46,75,17.27,broken clouds
21,Ushuaia,AR,-54.8,-68.3,51.46,43,75,11.5,broken clouds
22,Kitgum,UG,3.2783,32.8867,69.17,88,82,3.24,light rain
23,Dikson,RU,73.5069,80.5464,30.92,72,100,2.98,overcast clouds
24,Saint George,US,37.1041,-113.5841,79.79,26,0,1.99,clear sky
25,La Romana,DO,18.4273,-68.9728,91.76,66,75,9.22,broken clouds
26,Lebu,CL,-37.6167,-73.65,55.27,68,24,10.13,few clouds
27,Hambantota,LK,6.1241,81.1185,79.11,80,100,16.08,overcast clouds
